combo_label,M,organo_id,n_seeds_con_datos,edep_medio_J,s_between_J,se_within_medio_J,ratio_se_within_sobre_s_between,ic95_s_between_low,ic95_s_between_high
GCR_He_min_6,2500,92,3,3.473083333333333e-10,6.457843418149228e-11,1.5987583076666665e-11,0.2475684534520441,1.868736618625826e-10,5.07743004804084e-10
GCR_He_min_6,2500,93,3,1.0243983333333334e-10,2.8214440958192554e-11,7.420854726666667e-12,0.26301618868375604,3.234561963442333e-11,1.7253404703224333e-10
GCR_He_min_6,2500,94,3,1.59208e-11,3.89922364195746e-12,1.3265399466666668e-12,0.3402061714010143,6.233809723488879e-12,2.5607790276511124e-11
GCR_He_min_6,2500,95,3,4.0429666666666664e-09,3.3877244757112916e-10,5.998105691333333e-11,0.17705411801749202,3.2013413312386235e-09,4.884592002094709e-09
GCR_He_min_6,2500,96,3,1.2432703333333333e-10,5.066409687148615e-11,1.4825438046666666e-11,0.2926221715601221,-1.5397183146754612e-12,2.501937849813421e-10
GCR_He_min_6,2500,97,3,8.084366666666668e-10,1.6541111288644828e-10,2.1019949974666665e-11,0.12707701198465715,3.9749951884164104e-10,1.2193738144916924e-09
GCR_He_min_6,2500,98,3,9.02681e-11,3.735871728753545e-11,7.648810713333335e-12,0.20473965030606986,-2.543588771359804e-12,1.830797887713598e-10
GCR_He_min_6,2500,99,3,7.932780000000001e-10,1.4107035621632206e-10,1.5171998366e-11,0.1075491603830272,4.4281152399006077e-10,1.1437444760099393e-09
GCR_He_min_6,2500,100,3,2.0120833333333333e-12,5.725795108396155e-13,3.746567e-13,0.6543313075429704,5.896021772516063e-13,3.4345644894150605e-12
GCR_He_min_6,2500,101,3,7.017476666666667e-12,2.3179238309817975e-12,1.2661202933333332e-12,0.5462303275069421,1.258969929376257e-12,1.2775983403957077e-11
GCR_He_min_6,2500,102,3,5.03607e-12,2.6642714164101227e-12,1.0338562333333334e-12,0.3880446365056778,-1.5828812771303982e-12,1.1655021277130398e-11
GCR_He_min_6,2500,103,3,6.962786666666666e-10,5.512119800342997e-11,2.745436069e-11,0.4980726414598541,5.593389683782103e-10,8.33218364955123e-10
GCR_He_min_6,2500,104,3,1.8624433333333333e-11,2.629275604293573e-12,2.1928726800000003e-12,0.8340216128043282,1.209242348937537e-11,2.5156443177291296e-11
GCR_He_min_6,2500,105,3,5.20813e-11,9.942229679503477e-13,4.803987126666667e-12,4.831901174613161,4.96113138931287e-11,5.4551286106871297e-11
GCR_He_min_6,2500,106,3,8.020126666666667e-10,5.103576295435717e-11,1.663612684e-11,0.32596998412423445,6.752225707682437e-10,9.288027625650896e-10
GCR_He_min_6,2500,107,3,9.581206666666668e-08,3.7910117967810865e-09,3.268286762826666e-10,0.08621146379976287,8.639391121172035e-08,1.05230222121613e-07
GCR_He_min_6,2500,108,3,6.3943333333333335e-09,5.60365719894903e-10,7.434307701e-11,0.13266885244861712,5.002195364764024e-09,7.786471301902642e-09
GCR_He_min_6,2500,109,3,3.708563333333333e-08,1.9022140398318313e-09,2.1228578649433333e-10,0.1115993164013766,3.235989031377074e-08,4.181137635289592e-08
GCR_He_min_6,2500,110,3,5.226363333333334e-11,9.753256159013423e-12,5.019537266666667e-12,0.5146524591203202,2.803324640193506e-11,7.649402026473161e-11
GCR_He_min_6,2500,113,3,4.3528766666666667e-10,4.2951939098640634e-11,1.7878907246666667e-11,0.416253785553363,3.285805232423529e-10,5.419948100909804e-10
GCR_He_min_6,2500,114,3,5.198653333333334e-13,3.564875234735899e-13,1.5178009999999997e-13,0.4257655317669048,-3.6577024202253407e-13,1.4055009086892009e-12
GCR_He_min_6,2500,115,3,3.6837866666666665e-10,3.650168643136003e-11,1.7449691976666665e-11,0.478051665077999,2.7769613239701516e-10,4.5906120093631813e-10
